,id,original_title,popularity,release_date,title,vote_average,vote_count
89,497,The Green Mile,26.1986,1999-12-10,The Green Mile,8.504,19036
90,122,The Lord of the Rings: The Return of the King,29.2595,2003-12-17,The Lord of the Rings: The Return of the King,8.496,26281
91,496243,기생충,31.3445,2019-05-30,Parasite,8.493,20373
92,680,Pulp Fiction,28.3074,1994-09-10,Pulp Fiction,8.486,29943
93,372058,君の名は。,27.6691,2016-08-26,Your Name.,8.477,12406
94,157336,Interstellar,57.9049,2014-11-05,Interstellar,8.469,39296
95,429,"Il buono, il brutto, il cattivo",17.846,1966-12-23,"The Good, the Bad and the Ugly",8.468,9527
96,13,Forrest Gump,22.9393,1994-06-23,Forrest Gump,8.463,29477
97,769,GoodFellas,23.3662,1990-09-12,GoodFellas,8.452,14179
98,346,七人の侍,16.6606,1954-04-26,Seven Samurai,8.451,4168
99,12477,火垂るの墓,0.0132,1988-04-16,Grave of the Fireflies,8.444,6440
