,comp_name,comp_rating,comp_reviews,comp_type,location,salaries
748,VLCC,3.3 (1.4k),1.4k,Beauty & Personal Care , New Delhi +111 other locations,1.4k
749,Vfs Global Services,3.4 (1.4k),1.4k,IT Services & Consulting , Mumbai +32 other locations,1.4k
750,Nykaa,3.4 (1.4k),1.4k,Internet , Mumbai +117 other locations,1.4k
751,DCM Shriram,4.1 (1.4k),1.4k,Chemicals , Bharuch +107 other locations,1.4k
752,Unisys,3.5 (1.4k),1.4k,IT Services & Consulting , Bengaluru +18 other locations,1.4k
753,FedEx Express,4.0 (1.4k),1.4k,Logistics , Mumbai +94 other locations,1.4k
754,Sansera Engineering,4.0 (1.4k),1.4k,Auto Components , Bengaluru +28 other locations,1.4k
755,Infogain,3.5 (1.4k),1.4k,Emerging Technologies , Bengaluru +23 other locations,1.4k
756,Kantar,3.5 (1.4k),1.4k,Analytics & KPO , Bengaluru +44 other locations,1.4k
757,AtkinsRealis,3.7 (1.4k),1.4k,Engineering & Construction , Bengaluru +55 other locations,1.4k
758,VOIS,3.8 (1.4k),1.4k,IT Services & Consulting , Pune +21 other locations,1.4k
759,Chetu,3.6 (1.4k),1.4k,Software Product , Noida +14 other locations,1.4k
760,Oracle Financial Services Software,3.3 (1.4k),1.4k,Software Product , Bengaluru +22 other locations,1.4k
761,EOSGlobe,2.9 (1.4k),1.4k,BPO , Mumbai +29 other locations,1.4k
762,MedPlus,3.6 (1.4k),1.4k,Retail , Hyderabad +142 other locations,1.4k
763,Eaton,4.0 (1.4k),1.4k,Electronics Manufacturing , Pune +22 other locations,1.4k
764,City Union Bank,3.0 (1.4k),1.4k,Banking , Chennai +194 other locations,1.4k
765,Aerial Telecom Solutions,4.2 (1.4k),1.4k,Telecom , Sahibzada Ajit Singh Nagar +111 other locations,1.4k
766,Fino Payments Bank,3.8 (1.4k),1.4k,Banking , Mumbai +273 other locations,1.4k
767,Worley,4.1 (1.4k),1.4k,Engineering & Construction , Mumbai +56 other locations,1.4k
768,Sharekhan,3.7 (1.4k),1.4k,Financial Services , Mumbai +114 other locations,1.4k
769,Aforeserve,3.4 (1.4k),1.4k,IT Services & Consulting , Mumbai +159 other locations,1.4k
770,Faurecia,3.9 (1.4k),1.4k,Auto Components , Pune +28 other locations,1.4k
771,Bajaj Housing Finance,3.6 (1.4k),1.4k,NBFC , Pune +169 other locations,1.4k
772,TEKsystems,3.2 (1.4k),1.4k,IT Services & Consulting , Bengaluru +18 other locations,1.4k
773,TÜV SÜD,4.0 (1.4k),1.4k,"Testing, Inspection and Certification (TIC) ", Bengaluru +129 other locations,1.4k
774,Paytm Payments Bank,3.8 (1.4k),1.4k,Banking , Noida +137 other locations,1.4k
775,Sheenlac Paints,4.2 (1.4k),1.4k,Chemicals , Chennai +162 other locations,1.4k
776,Novo Nordisk,3.7 (1.4k),1.4k,Pharma , Bengaluru +74 other locations,1.4k
777,Amity University,3.6 (1.4k),1.4k,Education & Training , Noida +86 other locations,1.4k
778,Rashmi Metaliks,3.2 (1.4k),1.4k,Iron & Steel , Kharagpur +43 other locations,1.4k
779,Bharat FIH,3.7 (1.3k),1.3k,Electronics Manufacturing , Chennai +39 other locations,1.3k
780,Sunknowledge Services,3.4 (1.3k),1.3k,BPO , Kolkata +13 other locations,1.3k
781,iMerit,3.2 (1.3k),1.3k,IT Services & Consulting , Kolkata +22 other locations,1.3k
782,JioMart,3.9 (1.3k),1.3k,Retail , Mumbai +297 other locations,1.3k
783,Iffco Tokio General Insurance Co.,3.8 (1.3k),1.3k,Insurance , Gurugram +282 other locations,1.3k
784,Citco,3.1 (1.3k),1.3k,Management Consulting , Pune +13 other locations,1.3k
785,Incedo,2.9 (1.3k),1.3k,IT Services & Consulting , Gurugram +13 other locations,1.3k
786,JSW Cement,4.0 (1.3k),1.3k,Building Material , Mumbai +144 other locations,1.3k
787,DEXIT Global,3.5 (1.3k),1.3k,IT Services & Consulting , Mumbai +151 other locations,1.3k
788,Big Bazaar,4.3 (1.3k),1.3k,Retail , New Delhi +159 other locations,1.3k
789,Unichem Laboratories,3.6 (1.3k),1.3k,Pharma , Ghaziabad +77 other locations,1.3k
790,GE,4.1 (1.3k),1.3k,Defence & Aerospace , Bengaluru +76 other locations,1.3k
791,Collabera Talent Solutions,3.5 (1.3k),1.3k,Recruitment , Bengaluru +43 other locations,1.3k
792,Burger King,3.9 (1.3k),1.3k,Hospitality , New Delhi +111 other locations,1.3k
793,Aptara,3.1 (1.3k),1.3k,Content Development , Noida +15 other locations,1.3k
794,INDIUM,4.0 (1.3k),1.3k,IT Services & Consulting , Chennai +13 other locations,1.3k
795,Hindware Limited,3.9 (1.3k),1.3k,Building Material , Hyderabad +133 other locations,1.3k
796,FDC,3.7 (1.3k),1.3k,Pharma , Mumbai +128 other locations,1.3k
797,TE Connectivity,4.1 (1.3k),1.3k,Electronics Manufacturing , Bengaluru +22 other locations,1.3k
798,ZF Steering Gear,3.7 (1.3k),1.3k,Auto Components , Hyderabad +34 other locations,1.3k
799,CreditAccess Grameen,4.0 (1.3k),1.3k,NBFC , Bengaluru +348 other locations,1.3k
800,The Ramco Cements,4.1 (1.3k),1.3k,Building Material , Chennai +123 other locations,1.3k
801,Hatsun Agro Product,3.8 (1.3k),1.3k,Food Processing , Chennai +127 other locations,1.3k
802,ManpowerGroup,3.6 (1.3k),1.3k,Recruitment , Bengaluru +149 other locations,1.3k
803,RBL FinServe,3.9 (1.3k),1.3k,Financial Services , Mumbai +366 other locations,1.3k
804,Grant Thornton,3.4 (1.3k),1.3k,Accounting & Auditing , Bengaluru +60 other locations,1.3k
805,Brillio,3.4 (1.3k),1.3k,IT Services & Consulting , Bengaluru +14 other locations,1.3k
806,CenturyPly,3.9 (1.3k),1.3k,Furniture & Furnishing , Kolkata +146 other locations,1.3k
807,VIBGYOR Group of Schools,3.5 (1.3k),1.3k,Education & Training , Bengaluru +37 other locations,1.3k
808,GEP Worldwide,3.6 (1.3k),1.3k,IT Services & Consulting , Mumbai +17 other locations,1.3k
809,Cinépolis,3.8 (1.3k),1.3k,Media & Entertainment , New Delhi +59 other locations,1.3k
810,Nippon Paint India,4.0 (1.3k),1.3k,Chemicals , Chennai +163 other locations,1.3k
811,Shubham Housing Development Finance,3.9 (1.3k),1.3k,NBFC , New Delhi +158 other locations,1.3k
812,Atul,3.9 (1.3k),1.3k,Chemicals , Valsad +65 other locations,1.3k
813,Spicejet,3.4 (1.3k),1.3k,Aviation , New Delhi +60 other locations,1.3k
814,R Systems International,3.5 (1.3k),1.3k,IT Services & Consulting , Noida +23 other locations,1.3k
815,Punjab National Bank,3.8 (1.3k),1.3k,Banking , New Delhi +217 other locations,1.3k
816,OM Logistics,3.9 (1.3k),1.3k,Logistics , New Delhi +123 other locations,1.3k
817,Decathlon,3.7 (1.3k),1.3k,Retail , Bengaluru +71 other locations,1.3k
818,Bluestock ™,4.5 (1.3k),1.3k,FinTech , Pune +44 other locations,1.3k
819,Baroda Global Shared Services,3.8 (1.3k),1.3k,BPO , Gandhinagar +180 other locations,1.3k
820,Hindustan Construction Company,4.3 (1.3k),1.3k,Engineering & Construction , Mumbai +94 other locations,1.3k
821,Fabindia,3.7 (1.3k),1.3k,Retail , New Delhi +82 other locations,1.3k
822,Viraj Profiles,4.0 (1.3k),1.3k,Iron & Steel , Mumbai +28 other locations,1.3k
823,More Supermarket,3.7 (1.3k),1.3k,Retail , Bengaluru +164 other locations,1.3k
824,Astral Pipe,3.9 (1.3k),1.3k,Building Material , Ahmedabad +144 other locations,1.3k
825,Pantaloons,4.1 (1.3k),1.3k,Retail , Mumbai +155 other locations,1.3k
826,Mondelez International,4.1 (1.3k),1.3k,Food Processing , Mumbai +199 other locations,1.3k
827,Luminous Power Technologies,4.1 (1.3k),1.3k,Consumer Electronics & Appliances , Gurugram +135 other locations,1.3k
828,Troikaa Pharmaceuticals,4.0 (1.3k),1.3k,Pharma , Ahmedabad +106 other locations,1.3k
829,Sigma Electric Manufacturing Corporation,4.0 (1.3k),1.3k,Industrial Machinery , Pune +23 other locations,1.3k
830,Ion Exchange India,3.7 (1.3k),1.3k,Waste Management , Mumbai +126 other locations,1.3k
831,Samsung Research,3.0 (1.3k),1.3k,IT Services & Consulting , Bengaluru +19 other locations,1.3k
832,Jakson Group,4.1 (1.3k),1.3k,Power , Noida +101 other locations,1.3k
833,NxtWave,3.6 (1.3k),1.3k,EdTech , Hyderabad +54 other locations,1.3k
834,AGS Transact Technologies,2.8 (1.3k),1.3k,FinTech , Mumbai +122 other locations,1.3k
835,Panasonic,4.0 (1.3k),1.3k,Consumer Electronics & Appliances , Gurugram +125 other locations,1.3k
836,OpenText Technologies,3.4 (1.3k),1.3k,Software Product , Bengaluru +14 other locations,1.3k
837,Globant,3.4 (1.3k),1.3k,IT Services & Consulting , Pune +17 other locations,1.3k
838,Vestas,4.1 (1.3k),1.3k,Power , Chennai +51 other locations,1.3k
839,NetAmbit,3.9 (1.3k),1.3k,BPO , Noida +149 other locations,1.3k
840,Centre for Development of Advanced Computing,3.7 (1.3k),1.3k,IT Services & Consulting , Pune +41 other locations,1.3k
841,Automotive Manufacturers,3.9 (1.3k),1.3k,Automobile , Hyderabad +148 other locations,1.3k
842,SK Finance Limited,3.8 (1.3k),1.3k,NBFC , Jaipur +271 other locations,1.3k
843,ANZ Banking Group,3.8 (1.3k),1.3k,Banking , Bengaluru +18 other locations,1.3k
844,Dell EMC,3.8 (1.3k),1.3k,IT Services & Consulting , Bengaluru +53 other locations,1.3k
845,ICICI Prudential Mutual Fund,3.9 (1.3k),1.3k,Financial Services , Mumbai +169 other locations,1.3k
846,Tenneco,3.6 (1.2k),1.2k,Auto Components , Pune +46 other locations,1.2k
847,Electronics Corporation of India Limited,4.2 (1.2k),1.2k,Electronics Manufacturing , Hyderabad +57 other locations,1.2k
848,Royal Migration Solutions,4.9 (1.2k),1.2k,Other , Dubai +12 other locations,1.2k
849,PNC Infratech,3.8 (1.2k),1.2k,Engineering & Construction , Agra +96 other locations,1.2k
850,Jindal X,3.5 (1.2k),1.2k,BPO , New Delhi +22 other locations,1.2k
851,T-Systems ICT India,3.8 (1.2k),1.2k,IT Services & Consulting , Pune +16 other locations,1.2k
852,Godrej Consumer Products,4.0 (1.2k),1.2k,FMCG , Mumbai +149 other locations,1.2k
853,SKF,4.0 (1.2k),1.2k,Auto Components , Pune +69 other locations,1.2k
854,Aarvee Associates,3.7 (1.2k),1.2k,Engineering & Construction , Hyderabad +178 other locations,1.2k
855,Apex Group,2.7 (1.2k),1.2k,Financial Services , Pune +28 other locations,1.2k
856,Fresenius Kabi,4.0 (1.2k),1.2k,Pharma , Pune +65 other locations,1.2k
857,Spandana Sphoorty Financial,3.7 (1.2k),1.2k,NBFC , Hyderabad +355 other locations,1.2k
858,Oil And Natural Gas Corporation,4.3 (1.2k),1.2k,Oil & Gas , Mumbai +84 other locations,1.2k
859,Intertek,3.7 (1.2k),1.2k,"Testing, Inspection and Certification (TIC) ", New Delhi +116 other locations,1.2k
860,iSON Xperiences,3.2 (1.2k),1.2k,BPO , Chennai +43 other locations,1.2k
861,H.G. Infra Engineering,4.0 (1.2k),1.2k,Engineering & Construction , Jaipur +99 other locations,1.2k
862,Synchrony,4.3 (1.2k),1.2k,Financial Services , Hyderabad +9 other locations,1.2k
863,Mu Sigma,2.4 (1.2k),1.2k,Analytics & KPO , Bengaluru +16 other locations,1.2k
864,Shriram Pistons & Rings,4.0 (1.2k),1.2k,Auto Components , Bhiwadi +62 other locations,1.2k
865,KIMS Hospital,3.8 (1.2k),1.2k,Healthcare , Hyderabad +60 other locations,1.2k
866,Zoho,4.2 (1.2k),1.2k,Software Product , Chennai +36 other locations,1.2k
867,Rupeek,4.1 (1.2k),1.2k,FinTech , Bengaluru +56 other locations,1.2k
868,AIIMS,4.1 (1.2k),1.2k,Education & Training , New Delhi +75 other locations,1.2k
869,Dassault Systemes,3.7 (1.2k),1.2k,Software Product , Pune +13 other locations,1.2k
870,Prodapt,3.5 (1.2k),1.2k,IT Services & Consulting , Chennai +16 other locations,1.2k
871,Wind World,4.0 (1.2k),1.2k,Power , Jaisalmer +82 other locations,1.2k
872,Parexel International,3.8 (1.2k),1.2k,Clinical Research , Hyderabad +25 other locations,1.2k
873,Rockman Industries,3.8 (1.2k),1.2k,Auto Components , Haridwar +41 other locations,1.2k
874,Qualcomm,3.7 (1.2k),1.2k,Semiconductors , Hyderabad +18 other locations,1.2k
875,Kalpataru Limited,4.2 (1.2k),1.2k,Real Estate , Mumbai +83 other locations,1.2k
876,EbixCash Limited,3.7 (1.2k),1.2k,Software Product , Noida +85 other locations,1.2k
877,PHN Technology,4.3 (1.2k),1.2k,EdTech , Pune +32 other locations,1.2k
878,Best Sellers,4.1 (1.2k),1.2k,Retail , Mumbai +92 other locations,1.2k
879,DENSO,4.1 (1.2k),1.2k,Auto Components , Gurugram +39 other locations,1.2k
880,Diageo,3.8 (1.2k),1.2k,Beverage , Bengaluru +98 other locations,1.2k
881,DLF,4.0 (1.2k),1.2k,Real Estate , Gurugram +35 other locations,1.2k
882,Fidelity Investments,4.1 (1.2k),1.2k,Financial Services , Bengaluru +19 other locations,1.2k
883,DP World,3.8 (1.2k),1.2k,Logistics , Mumbai +84 other locations,1.2k
884,Kirloskar Oil Engines,4.1 (1.2k),1.2k,Industrial Machinery , Pune +106 other locations,1.2k
885,JTEKT,4.1 (1.2k),1.2k,Auto Components , Gurugram +30 other locations,1.2k
886,Colliers India,3.9 (1.2k),1.2k,Real Estate , Bengaluru +47 other locations,1.2k
887,Indostar Capital Finance Limited,4.4 (1.2k),1.2k,NBFC , Mumbai +327 other locations,1.2k
888,Ahluwalia Contracts India,4.0 (1.2k),1.2k,Engineering & Construction , New Delhi +57 other locations,1.2k
889,Fidelity National Financial,3.8 (1.2k),1.2k,Financial Services , Bengaluru +15 other locations,1.2k
890,JK Lakshmi Cement,3.7 (1.2k),1.2k,Building Material , New Delhi +141 other locations,1.2k
891,Leadec India,4.1 (1.2k),1.2k,Facility Management Services , Pune +80 other locations,1.2k
892,ExcelR,3.7 (1.2k),1.2k,Education & Training , Bengaluru +25 other locations,1.2k
893,Intel,4.1 (1.2k),1.2k,Semiconductors , Bengaluru +38 other locations,1.2k
894,Nielsen,3.1 (1.2k),1.2k,Analytics & KPO , Bengaluru +74 other locations,1.2k
895,Strides Pharma,3.9 (1.2k),1.2k,Pharma , Bengaluru +43 other locations,1.2k
896,Hire In Global,4.9 (1.2k),1.2k,Recruitment , Mumbai +56 other locations,1.2k
897,FOCUS EDUMATICS,2.9 (1.2k),1.2k,EdTech , Coimbatore +35 other locations,1.2k
898,Genius HRTech,3.8 (1.2k),1.2k,Recruitment , Kolkata +108 other locations,1.2k
899,ACG Worldwide,3.8 (1.2k),1.2k,Pharma , Mumbai +31 other locations,1.2k
900,Baazar Retail Private Limited,4.5 (1.2k),1.2k,Retail , Kolkata +109 other locations,1.2k
901,Thyrocare Technologies,3.7 (1.2k),1.2k,Healthcare , Mumbai +77 other locations,1.2k
902,Coca-Cola Company,4.0 (1.2k),1.2k,Beverage , Bengaluru +209 other locations,1.2k
903,Electronica Finance,4.1 (1.2k),1.2k,NBFC , Pune +175 other locations,1.2k
904,Barclays Shared Services,3.8 (1.2k),1.2k,Financial Services , Chennai +17 other locations,1.2k
905,Innova Solutions,3.3 (1.2k),1.2k,IT Services & Consulting , Hyderabad +37 other locations,1.2k
906,The Jaypee Group,3.8 (1.2k),1.2k,Engineering & Construction , Noida +106 other locations,1.2k
907,PayPal,3.7 (1.2k),1.2k,FinTech , Bengaluru +15 other locations,1.2k
908,Federal Bank,3.6 (1.2k),1.2k,Banking , Mumbai +153 other locations,1.2k
909,Salesforce,3.9 (1.2k),1.2k,Software Product , Hyderabad +40 other locations,1.2k
910,Zetwerk,4.0 (1.2k),1.2k,Industrial Machinery , Bengaluru +121 other locations,1.2k
911,HFCL Limited,3.7 (1.2k),1.2k,Telecom , Hyderabad +111 other locations,1.2k
912,Sri Chaitanya Techno Schools,3.5 (1.1k),1.1k,Education & Training , Bengaluru +168 other locations,1.1k
913,Johnson Lifts,3.9 (1.1k),1.1k,Industrial Machinery , Chennai +75 other locations,1.1k
914,Ocwen Financial Solutions,3.9 (1.1k),1.1k,Financial Services , Bengaluru +9 other locations,1.1k
915,DISH TV,3.4 (1.1k),1.1k,Broadcasting , Noida +153 other locations,1.1k
916,Apollo Health and Lifestyle Limited,4.3 (1.1k),1.1k,Healthcare , Hyderabad +94 other locations,1.1k
917,Aparna Constructions and Estates,3.9 (1.1k),1.1k,Real Estate , Hyderabad +22 other locations,1.1k
918,Schaeffler India,4.0 (1.1k),1.1k,Auto Components , Vadodara +28 other locations,1.1k
919,Podar International School,4.1 (1.1k),1.1k,Education & Training , Mumbai +125 other locations,1.1k
920,Meril,3.6 (1.1k),1.1k,Medical Equipment , Vapi +83 other locations,1.1k
921,Xyz Company,3.8 (1.1k),1.1k,Financial Services , Bengaluru +95 other locations,1.1k
922,Birla Corporation,4.1 (1.1k),1.1k,Building Material , Satna +144 other locations,1.1k
923,Edelweiss,3.6 (1.1k),1.1k,Financial Services , Mumbai +113 other locations,1.1k
924,Aptiv,3.4 (1.1k),1.1k,Auto Components , Bengaluru +26 other locations,1.1k
925,Nilkamal,3.7 (1.1k),1.1k,Furniture & Furnishing , Mumbai +113 other locations,1.1k
926,Prism Johnson,3.7 (1.1k),1.1k,Building Material , Mumbai +145 other locations,1.1k
927,Indira IVF Hospital,3.9 (1.1k),1.1k,Healthcare , Mumbai +105 other locations,1.1k
928,MDIndia Health Insurance TPA,3.6 (1.1k),1.1k,Insurance , Pune +94 other locations,1.1k
929,Dhoot Transmission,3.7 (1.1k),1.1k,Auto Components , Chhatrapati Sambhajinagar +43 other locations,1.1k
930,Bajaj Motors,3.9 (1.1k),1.1k,Auto Components , Gurugram +90 other locations,1.1k
931,CaratLane - A Tata Product,4.0 (1.1k),1.1k,Jewellery , Chennai +87 other locations,1.1k
932,London Stock Exchange Group,3.7 (1.1k),1.1k,Financial Services , Bengaluru +11 other locations,1.1k
933,Biocon Biologics,3.7 (1.1k),1.1k,Biotechnology , Bengaluru +27 other locations,1.1k
934,Imperial Auto Industries,3.8 (1.1k),1.1k,Auto Components , Faridabad +38 other locations,1.1k
935,Edelweiss Life Insurance,3.7 (1.1k),1.1k,Insurance , Mumbai +123 other locations,1.1k
936,Motilal Oswal Home Finance,4.3 (1.1k),1.1k,NBFC , Mumbai +129 other locations,1.1k
937,INDO-MIM,4.0 (1.1k),1.1k,Metals & Mining , Bengaluru +35 other locations,1.1k
938,Deccan Fine Chemicals,3.6 (1.1k),1.1k,Agro Chemicals , Tuni +31 other locations,1.1k
939,Balkrishna Industries,4.0 (1.1k),1.1k,Auto Components , Bhuj +34 other locations,1.1k
940,Barbeque Nation,3.9 (1.1k),1.1k,Hospitality , Bengaluru +83 other locations,1.1k
941,Piaggio,3.6 (1.1k),1.1k,Automobile , Pune +84 other locations,1.1k
942,ICON Plc,4.0 (1.1k),1.1k,Clinical Research , Chennai +28 other locations,1.1k
943,Wistron,4.0 (1.1k),1.1k,Electronics Manufacturing , Bengaluru +22 other locations,1.1k
944,Jacobs Engineering Group,4.2 (1.1k),1.1k,Engineering & Construction , Mumbai +42 other locations,1.1k
945,Kohler,3.7 (1.1k),1.1k,Building Material , Pune +51 other locations,1.1k
946,Jabil Circuit India,4.0 (1.1k),1.1k,Electronics Manufacturing , Pune +30 other locations,1.1k
947,Onward Technologies Inc,2.8 (1.1k),1.1k,IT Services & Consulting , Pune +63 other locations,1.1k
948,Navitasys India,4.1 (1.1k),1.1k,Electronics Manufacturing , Bawal +28 other locations,1.1k
949,Wonder Home Finance,4.6 (1.1k),1.1k,NBFC , Jaipur +119 other locations,1.1k
950,Advantmed,4.1 (1.1k),1.1k,Healthcare , Ahmedabad +16 other locations,1.1k
951,IIFL Home Finance,3.8 (1.1k),1.1k,NBFC , Gurugram +260 other locations,1.1k
952,V2 Retail,3.3 (1.1k),1.1k,Retail , New Delhi +134 other locations,1.1k
953,Saipem,4.2 (1.1k),1.1k,Engineering & Construction , Chennai +41 other locations,1.1k
954,Unicharm,3.9 (1.1k),1.1k,FMCG , Gurugram +189 other locations,1.1k
955,Hyundai Mobis,3.7 (1.1k),1.1k,Auto Components , Chennai +47 other locations,1.1k
956,VMware Software,4.4 (1.1k),1.1k,Software Product , Bengaluru +17 other locations,1.1k
957,TK Elevator,3.8 (1.1k),1.1k,Industrial Machinery , Pune +80 other locations,1.1k
958,Asirvad Microfinance,3.8 (1.1k),1.1k,NBFC , Chennai +316 other locations,1.1k
959,Sundaram Finance,4.0 (1.1k),1.1k,NBFC , Chennai +248 other locations,1.1k
960,Air India Sats Airport Services,3.6 (1.1k),1.1k,Aviation , New Delhi +48 other locations,1.1k
961,Hikal,3.8 (1.1k),1.1k,Pharma , Bengaluru +22 other locations,1.1k
962,Sri Chaitanya Educational Institutions,3.7 (1.1k),1.1k,Education & Training , Hyderabad +104 other locations,1.1k
963,Zydus Wellness,4.1 (1.1k),1.1k,FMCG , Ahmedabad +129 other locations,1.1k
964,Stanza Living,3.0 (1.1k),1.1k,Internet , Bengaluru +36 other locations,1.1k
965,MAHLE ANAND Filter Systems,4.0 (1.1k),1.1k,Auto Components , Pune +39 other locations,1.1k
966,Kirloskar Brothers,3.8 (1.1k),1.1k,Industrial Machinery , Pune +74 other locations,1.1k
967,Svatantra Microfin,3.9 (1.1k),1.1k,NBFC , Mumbai +332 other locations,1.1k
968,CALIBEHR,4.0 (1.1k),1.1k,IT Services & Consulting , Mumbai +183 other locations,1.1k
969,Syngenta,4.2 (1.1k),1.1k,Agriculture , Pune +172 other locations,1.1k
970,MG Motor,3.8 (1.1k),1.1k,Automobile , Vadodara +100 other locations,1.1k
971,Jet Airways,4.6 (1.1k),1.1k,Aviation , Mumbai +44 other locations,1.1k
972,Aarvi Encon,3.9 (1.1k),1.1k,Recruitment , Mumbai +132 other locations,1.1k
973,Godrej Agrovet,3.9 (1.1k),1.1k,Agriculture , Mumbai +144 other locations,1.1k
974,Tube Investments of India,3.8 (1.1k),1.1k,Engineering & Construction , Chennai +64 other locations,1.1k
975,GAIL,4.4 (1.1k),1.1k,Oil & Gas , New Delhi +104 other locations,1.1k
976,Northcorp Software,4.8 (1.1k),1.1k,IT Services & Consulting , Gurugram +7 other locations,1.1k
977,Adani Ports and SEZ,3.6 (1.1k),1.1k,Ports & Shipping , Mundra +61 other locations,1.1k
978,Metropolis Healthcare,3.9 (1.1k),1.1k,Healthcare , Mumbai +105 other locations,1.1k
979,Vedanta Aluminium,3.8 (1.1k),1.1k,Metals & Mining , Jharsuguda +45 other locations,1.1k
980,Knorr-Bremse,3.3 (1.1k),1.1k,Auto Components , Pune +32 other locations,1.1k
981,HPCL-Mittal Energy Limited,4.3 (1.1k),1.1k,Petrochemicals , Bathinda +30 other locations,1.1k
982,Gmmco,4.0 (1.1k),1.1k,Industrial Machinery , Chennai +90 other locations,1.1k
983,Amazon Sellers Services,4.0 (1.1k),1.1k,Internet , Bengaluru +69 other locations,1.1k
984,Nexa,4.0 (1.1k),1.1k,Automobile , New Delhi +216 other locations,1.1k
985,1point1 Solutions,3.3 (1.1k),1.1k,BPO , Bengaluru +18 other locations,1.1k
986,Power Grid Corporation of India,4.3 (1.1k),1.1k,Power , Gurugram +235 other locations,1.1k
987,Vayona Energy,4.0 (1.1k),1.1k,Power , Bengaluru +68 other locations,1.1k
988,TKIL,4.1 (1.1k),1.1k,Industrial Machinery , Pune +64 other locations,1.1k
989,Tata Capital Housing Finance,3.9 (1.1k),1.1k,NBFC , Mumbai +169 other locations,1.1k
990,Pernod Ricard,3.5 (1.1k),1.1k,Beverage , Gurugram +120 other locations,1.1k
991,Klm Axiva Finvest,4.4 (1.1k),1.1k,NBFC , Bengaluru +158 other locations,1.1k
992,Bajaj Capital Insurance Broking Limited,4.4 (1k),1k,Insurance , New Delhi +140 other locations,1k
993,Unity Small Finance Bank,3.6 (1k),1k,Banking , Mumbai +146 other locations,1k
994,Dana Anand,4.0 (1k),1k,Auto Components , Pune +49 other locations,1k
995,Bharat Sanchar Nigam,3.8 (1k),1k,Telecom , Bengaluru +241 other locations,1k
996,Zf Rane Automotive,3.9 (1k),1k,Auto Components , Chennai +50 other locations,1k
997,Spencer's Retail,3.7 (1k),1k,Retail , Kolkata +63 other locations,1k
998,Thermo Fisher Scientific,3.7 (1k),1k,Biotechnology , Bengaluru +36 other locations,1k
999,Aspire Systems,3.8 (1k),1k,IT Services & Consulting , Chennai +23 other locations,1k
1000,Greenko Group,3.9 (1k),1k,Power , Hyderabad +82 other locations,1k
1001,Hindustan Zinc,3.8 (1k),1k,Metals & Mining , Udaipur +36 other locations,1k
1002,Kinara Capital,4.2 (1k),1k,NBFC , Bengaluru +114 other locations,1k
1003,GlobalData,3.3 (1k),1k,Analytics & KPO , Hyderabad +22 other locations,1k
1004,Nippon Life India Asset Management,4.6 (1k),1k,Financial Services , Mumbai +189 other locations,1k
1005,Wheels,3.9 (1k),1k,Auto Components , Chennai +47 other locations,1k
1006,Gharda Chemicals Limited,4.0 (1k),1k,Agro Chemicals , Mumbai +73 other locations,1k
1007,Netcracker Technology,3.0 (1k),1k,IT Services & Consulting , Hyderabad +12 other locations,1k
1008,ValueMomentum,3.2 (1k),1k,IT Services & Consulting , Hyderabad +11 other locations,1k
1009,Fractal Analytics,4.0 (1k),1k,Analytics & KPO , Bengaluru +18 other locations,1k
1010,SLMG Beverages,3.9 (1k),1k,Beverage , Lucknow +95 other locations,1k
1011,Lakshmi Machine Works,3.8 (1k),1k,Industrial Machinery , Coimbatore +32 other locations,1k
1012,Hinduja Housing Finance,3.7 (1k),1k,NBFC , New Delhi +213 other locations,1k
1013,BirlaNu,3.9 (1k),1k,Building Material , Hyderabad +110 other locations,1k
1014,TÜV NORD,3.7 (1k),1k,"Testing, Inspection and Certification (TIC) ", Pune +84 other locations,1k
1015,Allianz Technology,4.0 (1k),1k,IT Services & Consulting , Pune +14 other locations,1k
1016,Ceasefire Industries,3.2 (1k),1k,Industrial Machinery , New Delhi +76 other locations,1k
1017,Amara Raja Group,4.1 (1k),1k,Auto Components , Tirupati +79 other locations,1k
1018,Uber,4.1 (1k),1k,Internet , Hyderabad +52 other locations,1k
1019,Crompton Greaves Consumer Electricals,3.7 (1k),1k,Consumer Electronics & Appliances , Mumbai +107 other locations,1k
1020,iQor Global Services,3.3 (1k),1k,BPO , Noida +50 other locations,1k
1021,Hitachi Energy,4.1 (1k),1k,Power , Chennai +37 other locations,1k
1022,Encora,3.4 (1k),1k,IT Services & Consulting , Bengaluru +19 other locations,1k
1023,Otis Elevator,4.1 (1k),1k,Industrial Machinery , Bengaluru +71 other locations,1k
1024,Malabar Gold and Diamonds,4.0 (1k),1k,Jewellery , Hyderabad +132 other locations,1k
1025,Vistaar Finance,3.9 (1k),1k,NBFC , Bengaluru +203 other locations,1k
1026,Sahara India Pariwar,3.8 (1k),1k,Broadcasting , Lucknow +247 other locations,1k
1027,SYSKA LED Lights,2.9 (1k),1k,Consumer Electronics & Appliances , Pune +155 other locations,1k
1028,Shyam Steel Group,3.5 (1k),1k,Iron & Steel , Kolkata +84 other locations,1k
1029,NBC Bearings,3.9 (1k),1k,Auto Components , Jaipur +29 other locations,1k
1030,Suzuki Motorcycle,4.0 (1k),1k,Automobile , Gurugram +121 other locations,1k
1031,ALLEN Career Institute,3.8 (1k),1k,Education & Training , Kota +71 other locations,1k
1032,IB Group,3.7 (1k),1k,Food Processing , Rajnandgaon +152 other locations,1k
1033,Vertiv,3.9 (1k),1k,Electronics Manufacturing , Pune +55 other locations,1k
