,comp_name,comp_rating,comp_reviews,comp_type,location,salaries
544,Polycab Wires,4.0 (1.8k),1.8k,Electrical Equipment , Vadodara +167 other locations,1.8k
545,Aragen Life Sciences,3.9 (1.8k),1.8k,Clinical Research , Hyderabad +29 other locations,1.8k
546,First American (India),3.5 (1.8k),1.8k,Insurance , Bengaluru +22 other locations,1.8k
547,Honda Cars,4.3 (1.8k),1.8k,Automobile , Bhiwadi +118 other locations,1.8k
548,Medi Assist India,3.5 (1.8k),1.8k,Insurance , Bengaluru +66 other locations,1.8k
549,AXA Global Business Services,3.7 (1.8k),1.8k,IT Services & Consulting , Pune +11 other locations,1.8k
550,Infra.Market,3.9 (1.8k),1.8k,Building Material , Mumbai +132 other locations,1.8k
551,Fusion CX,3.3 (1.8k),1.8k,BPO , Kolkata +58 other locations,1.8k
552,Godrej Properties,3.6 (1.8k),1.8k,Real Estate , Mumbai +34 other locations,1.8k
553,Capri Global Capital,3.6 (1.8k),1.8k,NBFC , New Delhi +334 other locations,1.8k
554,AkzoNobel,4.1 (1.8k),1.8k,Chemicals , Pune +162 other locations,1.8k
555,Sterling & Wilson,4.0 (1.8k),1.8k,Engineering & Construction , Mumbai +131 other locations,1.8k
556,Innovsource Services,3.9 (1.8k),1.8k,Recruitment , Mumbai +252 other locations,1.8k
557,Haldiram Foods International Limited,3.8 (1.8k),1.8k,FMCG , Nagpur +167 other locations,1.8k
558,DIVI'S Laboratories,3.6 (1.8k),1.8k,Pharma , Visakhapatnam +37 other locations,1.8k
559,Cafe Coffee Day,3.7 (1.8k),1.8k,Hospitality , Bengaluru +106 other locations,1.8k
560,Stellar Migration,1.3 (1.8k),1.8k,Other , Dubai +7 other locations,1.8k
561,Hindustan Petroleum,4.2 (1.8k),1.8k,Oil & Gas , Mumbai +257 other locations,1.8k
562,Air India,3.4 (1.8k),1.8k,Aviation , New Delhi +69 other locations,1.8k
563,MetLife,4.0 (1.8k),1.8k,Insurance , Noida +44 other locations,1.8k
564,Digit Insurance,3.7 (1.8k),1.8k,Insurance , Bengaluru +88 other locations,1.8k
565,SS&C TECHNOLOGIES,3.2 (1.8k),1.8k,IT Services & Consulting , Mumbai +30 other locations,1.8k
566,Kalyan Jewellers,4.4 (1.8k),1.8k,Jewellery , Thrissur +158 other locations,1.8k
567,Tata Communications Transformation Services,3.8 (1.8k),1.8k,Telecom , Pune +95 other locations,1.8k
568,Reckitt Benckiser,4.0 (1.7k),1.7k,FMCG , Gurugram +137 other locations,1.7k
569,LivSpace,3.3 (1.7k),1.7k,Architecture & Interior Design , Bengaluru +53 other locations,1.7k
570,USHA International,4.1 (1.7k),1.7k,Consumer Electronics & Appliances , Gurugram +150 other locations,1.7k
571,Security and Intelligence Services (India),4.0 (1.7k),1.7k,Law Enforcement & Security , New Delhi +196 other locations,1.7k
572,USV,4.0 (1.7k),1.7k,Pharma , Mumbai +108 other locations,1.7k
573,Isgec Heavy Engineering,3.8 (1.7k),1.7k,Engineering & Construction , Noida +93 other locations,1.7k
574,Future Retail,4.4 (1.7k),1.7k,Retail , Mumbai +197 other locations,1.7k
575,BT Business,3.9 (1.7k),1.7k,Telecom , Gurugram +13 other locations,1.7k
576,Provana,3.9 (1.8k),1.8k,BPO , Noida +11 other locations,1.8k
577,HDFC Securities,3.4 (1.7k),1.7k,Financial Services , Mumbai +187 other locations,1.7k
578,Vedantu,3.3 (1.7k),1.7k,EdTech , Bengaluru +72 other locations,1.7k
579,Adani Green Energy,3.9 (1.7k),1.7k,Power , Ahmedabad +114 other locations,1.7k
580,Dhani Loans and Services,3.9 (1.7k),1.7k,NBFC , Gurugram +186 other locations,1.7k
581,XBP Global,3.2 (1.7k),1.7k,Internet , Chennai +23 other locations,1.7k
582,Annapurna Finance,3.8 (1.7k),1.7k,NBFC , Bhubaneswar +401 other locations,1.7k
583,Pine Labs,3.3 (1.7k),1.7k,FinTech , Noida +119 other locations,1.7k
584,Bata,3.5 (1.7k),1.7k,Fashion & Textile , Gurugram +149 other locations,1.7k
585,Rungta Mines,4.0 (1.7k),1.7k,Metals & Mining , Chaibasa +57 other locations,1.7k
586,BVG India,4.2 (1.7k),1.7k,Facility Management Services , Pune +136 other locations,1.7k
587,Mother Dairy Fruit & Vegetable,4.0 (1.7k),1.7k,Food Processing , New Delhi +128 other locations,1.7k
588,Metro Cash & Carry,4.0 (1.7k),1.7k,Retail , Bengaluru +89 other locations,1.7k
589,Granules India Limited,3.8 (1.7k),1.7k,Pharma , Hyderabad +22 other locations,1.7k
590,Orchids International School,3.9 (1.7k),1.7k,Education & Training , Bengaluru +33 other locations,1.7k
591,Indian Navy,4.6 (1.7k),1.7k,Defence & Aerospace , Mumbai +76 other locations,1.7k
592,Orange Business,4.1 (1.7k),1.7k,IT Services & Consulting , Gurugram +52 other locations,1.7k
593,NEC,4.0 (1.7k),1.7k,IT Services & Consulting , Noida +54 other locations,1.7k
594,Sysnet Global Technologies,3.7 (1.7k),1.7k,IT Services & Consulting , New Delhi +154 other locations,1.7k
595,Medanta the Medicity,4.0 (1.7k),1.7k,Healthcare , Gurugram +50 other locations,1.7k
596,HighRadius,2.5 (1.7k),1.7k,Software Product , Hyderabad +15 other locations,1.7k
597,Hitachi Astemo,4.1 (1.7k),1.7k,Auto Components , Neemrana +52 other locations,1.7k
598,TTEC India,3.7 (1.7k),1.7k,BPO , Ahmedabad +35 other locations,1.7k
599,FactSet,3.7 (1.7k),1.7k,Analytics & KPO , Hyderabad +16 other locations,1.7k
600,Cavinkare,3.9 (1.7k),1.7k,FMCG , Chennai +174 other locations,1.7k
601,Cushman & Wakefield,4.2 (1.7k),1.7k,Real Estate , Gurugram +44 other locations,1.7k
602,Caterpillar Inc,4.1 (1.7k),1.7k,Industrial Machinery , Chennai +43 other locations,1.7k
603,Frankfinn Institute of Air Hostess Training,3.9 (1.7k),1.7k,Education & Training , Gurugram +61 other locations,1.7k
604,KONE,4.1 (1.7k),1.7k,Industrial Machinery , Chennai +73 other locations,1.7k
605,IIFL SAMASTA,3.7 (1.7k),1.7k,NBFC , Bengaluru +410 other locations,1.7k
606,Yamaha Motor,4.1 (1.7k),1.7k,Automobile , Chennai +155 other locations,1.7k
607,DHL Express,4.1 (1.6k),1.6k,Logistics , Mumbai +91 other locations,1.6k
608,MagicBricks,4.0 (1.6k),1.6k,Internet , Noida +35 other locations,1.6k
609,Rane (Madras),3.9 (1.6k),1.6k,Auto Components , Chennai +58 other locations,1.6k
610,BA Continuum,3.9 (1.6k),1.6k,IT Services & Consulting , Hyderabad +19 other locations,1.6k
611,L.G.Balakrishnan & Bros,3.5 (1.6k),1.6k,Auto Components , Coimbatore +62 other locations,1.6k
612,Health Care Global Enterprises,4.4 (1.6k),1.6k,Healthcare , Bengaluru +53 other locations,1.6k
613,Compass Group Support Services,4.0 (1.6k),1.6k,Facility Management Services , Bengaluru +77 other locations,1.6k
614,JSW Bhushan Power & Steel,4.0 (1.6k),1.6k,Iron & Steel , Jharsuguda +65 other locations,1.6k
615,Procter & Gamble,4.0 (1.6k),1.6k,FMCG , Mumbai +254 other locations,1.6k
616,Wipro Enterprises Ltd,3.8 (1.6k),1.6k,FMCG , Bengaluru +122 other locations,1.6k
617,NielsenIQ,3.5 (1.6k),1.6k,Analytics & KPO , Chennai +54 other locations,1.6k
618,Patanjali Foods,3.8 (1.6k),1.6k,FMCG , Haridwar +236 other locations,1.6k
